Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,123.821068,125.175583,123.193977,125.050163,84.763557,3396640
2014-10-28,125.275917,126.362877,125.050163,126.304352,85.613731,2821125
2014-10-29,126.580269,126.864548,125.585281,126.262543,85.585381,2464478
2014-10-30,125.827759,127.424751,125.418060,127.173912,86.203140,2196454
2014-10-31,128.620407,129.130432,128.001678,128.570236,87.149635,3607495
2014-11-03,128.043472,129.088623,127.909698,128.177261,86.883255,2831530
2014-11-04,128.695648,129.790970,128.127090,129.640472,87.875061,3741806
2014-11-05,130.167221,130.635452,128.879593,130.175583,88.237770,3313398
2014-11-06,130.175583,131.003342,129.774246,130.476593,88.441849,2472371
2014-11-07,130.560196,130.953171,130.000000,130.894653,88.725204,2251829
2014-11-10,130.643814,131.864548,130.476593,131.822739,89.354279,1750346
2014-11-11,132.065216,132.107025,130.978256,131.362869,89.042564,2160694
2014-11-12,130.978256,131.998322,130.852844,131.839462,89.365623,1794837
2014-11-13,132.107025,133.001678,131.672241,132.399673,89.745361,2840620
2014-11-14,132.550171,132.842804,131.864548,132.817719,90.028732,2136415
2014-11-17,132.182281,133.076920,132.182281,132.683945,89.938065,2002463
2014-11-18,132.842804,134.163879,132.817719,133.904678,90.765488,2764434
2014-11-19,133.219070,133.285950,132.081940,132.801010,90.595863,2768381
2014-11-20,132.265884,133.403015,131.973251,133.244141,90.898178,2091804
2014-11-21,134.038467,134.498322,133.436462,133.913040,91.354500,2956512
2014-11-24,133.913040,134.247498,133.285950,133.678925,91.194771,2820407
2014-11-25,132.943146,133.511703,132.157196,132.157196,90.156670,4360975
2014-11-26,132.081940,132.483276,131.688965,132.366226,90.299271,2180547
2014-11-28,133.428101,134.464890,132.775925,133.854507,91.314560,1872338
2014-12-01,132.399673,133.369568,131.989960,132.240799,90.213684,2992512
2014-12-02,132.759201,134.431442,132.558533,134.280930,91.605461,2995262
2014-12-03,134.698990,135.819397,133.921402,135.668900,92.552322,3634405
2014-12-04,135.451508,136.220734,134.531769,135.668900,92.552322,2588383
2014-12-05,135.785950,136.204010,135.351166,135.677261,92.558044,2060230
2014-12-08,135.535110,136.120407,133.862869,134.556854,91.793671,2270367
2014-12-09,133.687286,134.698990,133.035110,134.473251,91.736664,2443548
2014-12-10,134.372910,134.456528,131.856186,132.307693,90.259331,3879465
2014-12-11,133.093643,133.963211,132.458191,133.068558,90.778381,2915011
2014-12-12,132.575256,132.934784,131.371231,131.371231,89.620506,3373438
2014-12-15,132.207352,132.474915,130.091980,131.145493,89.466476,3120723
2014-12-16,131.488297,134.983276,131.337799,132.984955,90.721344,4043437
2014-12-17,133.185623,134.523407,131.923080,134.280930,91.605461,4715350
2014-12-18,135.785950,138.210709,135.451508,138.210709,94.286324,4018321
2014-12-19,137.775925,138.871231,137.424744,138.361206,94.388992,5849995
2014-12-22,138.979935,139.891296,138.913040,139.857864,95.410019,2489594
2014-12-23,140.484955,140.602005,139.523407,139.523407,95.181801,2619479
2014-12-24,138.938126,140.142136,138.938126,139.598663,95.233162,1173994
2014-12-26,139.916382,140.309372,138.921402,139.013382,94.833885,1922450
2014-12-29,139.046829,139.732437,138.637131,139.389633,95.090561,1453977
2014-12-30,139.255859,139.414719,138.193985,138.662201,94.594345,1412117
2014-12-31,138.795990,139.774246,137.290970,137.391296,93.727318,1941945
2015-01-02,137.717392,138.026749,136.061874,137.173920,93.579033,2531214
2015-01-05,136.287628,136.822739,133.846161,134.080261,91.468559,4416708
2015-01-06,134.464890,134.924744,131.889633,132.650497,90.493172,4224272
2015-01-07,133.695648,134.013382,132.892975,133.612045,91.149147,3685235
2015-01-08,134.322739,136.864548,134.214050,136.814377,93.333740,3758908
2015-01-09,136.998322,137.123749,134.841141,135.133774,92.187256,2844806
2015-01-12,135.777588,135.777588,133.795990,134.397995,91.685310,2570443
